seller_id,seller_state,orders,late_orders,late_rate,avg_review,low_review_rate,median_ship_days,slow_handoff_rate,expected_late_orders_at_network_rate,excess_late_orders,seller
e9779976487b77c6d4ac45f75ec7afe9,SP,628,46,0.0732,4.285,0.1003,2.0304,0.1959,50.1376,-4.1376,Seller E97799
4830e40640734fc1c52cd21127c341d4,SP,197,14,0.0711,4.2538,0.1066,1.5565,0.0964,15.7279,-1.7279,Seller 4830E4
5656537e588803a555b8eb41f07a944b,DF,169,12,0.071,3.9112,0.1834,1.1685,0.1243,13.4925,-1.4925,Seller 565653
f457c46070d02cadd8a68551231220dd,PR,169,12,0.071,4.0769,0.142,2.182,0.1775,13.4925,-1.4925,Seller F457C4
25c5c91f63607446a97b143d2d535d31,MG,143,10,0.0699,3.9085,0.1761,4.6616,0.5804,11.4167,-1.4167,Seller 25C5C9
2e1c9f22be269ef4643f826c9e650a52,SP,158,11,0.0696,4.2848,0.1013,1.7154,0.0759,12.6142,-1.6142,Seller 2E1C9F
17a053fcb14bd219540cbde0df490be0,SP,116,8,0.069,4.2931,0.0862,3.8672,0.4828,9.2611,-1.2611,Seller 17A053
66922902710d126a0e7d26b0e3805106,MG,147,10,0.068,4.517,0.0476,2.9047,0.2925,11.736,-1.736,Seller 669229
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,103,7,0.068,4.1456,0.1068,4.2276,0.534,8.2232,-1.2232,Seller 0ADAC9
f4aba7c0bca51484c30ab7bdc34bcdd1,SP,104,7,0.0673,3.9423,0.1538,3.8848,0.4904,8.303,-1.303,Seller F4ABA7
850f4f8af5ea87287ac68de36e29107f,SP,179,12,0.067,4.3352,0.0838,1.1231,0.0503,14.2908,-2.2908,Seller 850F4F
c003204e1ab016dfa150abc119207b24,SP,194,13,0.067,4.4845,0.0412,1.2204,0.067,15.4884,-2.4884,Seller C00320
1554a68530182680ad5c8b042c3ab563,MG,240,16,0.0667,4.3697,0.0924,2.0192,0.1542,19.1609,-3.1609,Seller 1554A6
0be8ff43f22e456b4e0371b2245e4d01,SP,150,10,0.0667,4.0933,0.1533,1.9505,0.1867,11.9756,-1.9756,Seller 0BE8FF
dc4a0fc896dc34b0d5bfec8438291c80,SP,211,14,0.0664,3.89,0.1818,3.5644,0.4123,16.8456,-2.8456,Seller DC4A0F
18a349e75d307f4b4cc646a691ed4216,SP,106,7,0.066,3.6509,0.2547,2.0596,0.2642,8.4627,-1.4627,Seller 18A349
79ebd9a61bac3eaf882805ed4ecfa12a,PR,122,8,0.0656,4.1967,0.0984,6.0302,0.7541,9.7401,-1.7401,Seller 79EBD9
46dc3b2cc0980fb8ec44634e21d2718e,RJ,458,30,0.0655,4.2969,0.1048,2.1642,0.1921,36.5653,-6.5653,Seller 46DC3B
1b4c3a6f53068f0b6944d2d005c9fc89,SC,107,7,0.0654,4.271,0.1028,1.4473,0.0748,8.5426,-1.5426,Seller 1B4C3A
59fb871bf6f4522a87ba567b42dafecf,SP,123,8,0.065,4.2764,0.0732,1.5596,0.2195,9.82,-1.82,Seller 59FB87
